"rgn_id","variable","year","value"
1,"Gp",2021,NA
2,"Gp",2021,3433.5
3,"Gp",2021,NA
4,"Gp",2021,NA
5,"Gp",2021,NA
6,"Gp",2021,NA
7,"Gp",2021,NA
8,"Gp",2021,NA
9,"Gp",2021,NA
10,"Gp",2021,NA
11,"Gp",2021,NA
12,"Gp",2021,NA
13,"Gp",2021,NA
14,"Gp",2021,NA
15,"Gp",2021,NA
16,"Gp",2021,NA
17,"Gp",2021,NA
18,"Gp",2021,NA
19,"Gp",2021,NA
20,"Gp",2021,NA
21,"Gp",2021,NA
22,"Gp",2021,NA
23,"Gp",2021,NA
24,"Gp",2021,NA
25,"Gp",2021,NA
26,"Gp",2021,NA
27,"Gp",2021,NA
28,"Gp",2021,NA
29,"Gp",2021,NA
30,"Gp",2021,NA
31,"Gp",2021,NA
32,"Gp",2021,NA
33,"Gp",2021,NA
34,"Gp",2021,NA
35,"Gp",2021,NA
36,"Gp",2021,5669.6
1,"CA",2021,NA
2,"CA",2021,3840.5
3,"CA",2021,3983.3
4,"CA",2021,NA
5,"CA",2021,NA
6,"CA",2021,0
7,"CA",2021,NA
8,"CA",2021,5690.8
9,"CA",2021,NA
10,"CA",2021,NA
11,"CA",2021,NA
12,"CA",2021,NA
13,"CA",2021,1262.2
14,"CA",2021,NA
15,"CA",2021,NA
16,"CA",2021,NA
17,"CA",2021,NA
18,"CA",2021,11185.6
19,"CA",2021,NA
20,"CA",2021,NA
21,"CA",2021,NA
22,"CA",2021,NA
23,"CA",2021,1200.9
24,"CA",2021,NA
25,"CA",2021,NA
26,"CA",2021,NA
27,"CA",2021,NA
28,"CA",2021,NA
29,"CA",2021,NA
30,"CA",2021,NA
31,"CA",2021,214.6
32,"CA",2021,NA
33,"CA",2021,NA
34,"CA",2021,543
35,"CA",2021,NA
36,"CA",2021,1867.6
1,"EM",2021,NA
2,"EM",2021,NA
3,"EM",2021,NA
4,"EM",2021,NA
5,"EM",2021,NA
6,"EM",2021,NA
7,"EM",2021,NA
8,"EM",2021,NA
9,"EM",2021,NA
10,"EM",2021,NA
11,"EM",2021,NA
12,"EM",2021,NA
13,"EM",2021,NA
14,"EM",2021,NA
15,"EM",2021,161.1
16,"EM",2021,NA
17,"EM",2021,NA
18,"EM",2021,1106
19,"EM",2021,2600.7
20,"EM",2021,2661.5
21,"EM",2021,NA
22,"EM",2021,NA
23,"EM",2021,7633.1
24,"EM",2021,NA
25,"EM",2021,NA
26,"EM",2021,NA
27,"EM",2021,NA
28,"EM",2021,NA
29,"EM",2021,NA
30,"EM",2021,NA
31,"EM",2021,3921.3
32,"EM",2021,1718.9
33,"EM",2021,2135
34,"EM",2021,NA
35,"EM",2021,NA
36,"EM",2021,NA
1,"CI",2021,130.6
2,"CI",2021,NA
3,"CI",2021,NA
4,"CI",2021,1062.7
5,"CI",2021,236.8
6,"CI",2021,3462.9
7,"CI",2021,55.9
8,"CI",2021,NA
9,"CI",2021,0
10,"CI",2021,80.4
11,"CI",2021,83.9
12,"CI",2021,NA
13,"CI",2021,NA
14,"CI",2021,852.7
15,"CI",2021,NA
16,"CI",2021,NA
17,"CI",2021,NA
18,"CI",2021,NA
19,"CI",2021,NA
20,"CI",2021,NA
21,"CI",2021,562
22,"CI",2021,NA
23,"CI",2021,NA
24,"CI",2021,150.2
25,"CI",2021,NA
26,"CI",2021,1102.7
27,"CI",2021,2123.8
28,"CI",2021,1483.5
29,"CI",2021,810.1
30,"CI",2021,NA
31,"CI",2021,NA
32,"CI",2021,NA
33,"CI",2021,NA
34,"CI",2021,NA
35,"CI",2021,NA
36,"CI",2021,NA
1,"FB",2021,NA
2,"FB",2021,NA
3,"FB",2021,NA
4,"FB",2021,NA
5,"FB",2021,NA
6,"FB",2021,NA
7,"FB",2021,NA
8,"FB",2021,NA
9,"FB",2021,NA
10,"FB",2021,NA
11,"FB",2021,NA
12,"FB",2021,523
13,"FB",2021,NA
14,"FB",2021,NA
15,"FB",2021,NA
16,"FB",2021,361.8
17,"FB",2021,NA
18,"FB",2021,NA
19,"FB",2021,NA
20,"FB",2021,NA
21,"FB",2021,NA
22,"FB",2021,NA
23,"FB",2021,NA
24,"FB",2021,NA
25,"FB",2021,573.3
26,"FB",2021,NA
27,"FB",2021,NA
28,"FB",2021,NA
29,"FB",2021,NA
30,"FB",2021,458.4
31,"FB",2021,NA
32,"FB",2021,NA
33,"FB",2021,970.4
34,"FB",2021,NA
35,"FB",2021,NA
36,"FB",2021,NA
1,"FD",2021,NA
2,"FD",2021,NA
3,"FD",2021,NA
4,"FD",2021,NA
5,"FD",2021,NA
6,"FD",2021,NA
7,"FD",2021,NA
8,"FD",2021,NA
9,"FD",2021,NA
10,"FD",2021,NA
11,"FD",2021,NA
12,"FD",2021,51.7
13,"FD",2021,NA
14,"FD",2021,NA
15,"FD",2021,NA
16,"FD",2021,51.5
17,"FD",2021,NA
18,"FD",2021,NA
19,"FD",2021,NA
20,"FD",2021,NA
21,"FD",2021,NA
22,"FD",2021,NA
23,"FD",2021,NA
24,"FD",2021,NA
25,"FD",2021,99.5
26,"FD",2021,NA
27,"FD",2021,NA
28,"FD",2021,NA
29,"FD",2021,NA
30,"FD",2021,28
31,"FD",2021,NA
32,"FD",2021,NA
33,"FD",2021,154.5
34,"FD",2021,NA
35,"FD",2021,NA
36,"FD",2021,NA
1,"AF",2021,NA
2,"AF",2021,1035.6
3,"AF",2021,681.4
4,"AF",2021,NA
5,"AF",2021,NA
6,"AF",2021,247.8
7,"AF",2021,NA
8,"AF",2021,972
9,"AF",2021,150
10,"AF",2021,NA
11,"AF",2021,NA
12,"AF",2021,NA
13,"AF",2021,NA
14,"AF",2021,331.9
15,"AF",2021,NA
16,"AF",2021,NA
17,"AF",2021,NA
18,"AF",2021,3799.9
19,"AF",2021,NA
20,"AF",2021,NA
21,"AF",2021,NA
22,"AF",2021,8.3
23,"AF",2021,1011.3
24,"AF",2021,NA
25,"AF",2021,NA
26,"AF",2021,NA
27,"AF",2021,NA
28,"AF",2021,NA
29,"AF",2021,NA
30,"AF",2021,NA
31,"AF",2021,55.6
32,"AF",2021,NA
33,"AF",2021,NA
34,"AF",2021,NA
35,"AF",2021,142.2
36,"AF",2021,2153.8
1,"CE",2021,1416
2,"CE",2021,7415
3,"CE",2021,20011
4,"CE",2021,5
5,"CE",2021,113
6,"CE",2021,1009
7,"CE",2021,893
8,"CE",2021,6760
9,"CE",2021,NA
10,"CE",2021,NA
11,"CE",2021,728
12,"CE",2021,41
13,"CE",2021,2256
14,"CE",2021,NA
15,"CE",2021,NA
16,"CE",2021,214
17,"CE",2021,887
18,"CE",2021,14967
19,"CE",2021,NA
20,"CE",2021,NA
21,"CE",2021,NA
22,"CE",2021,NA
23,"CE",2021,10685
24,"CE",2021,NA
25,"CE",2021,11
26,"CE",2021,NA
27,"CE",2021,5614
28,"CE",2021,NA
29,"CE",2021,NA
30,"CE",2021,NA
31,"CE",2021,NA
32,"CE",2021,NA
33,"CE",2021,NA
34,"CE",2021,NA
35,"CE",2021,NA
36,"CE",2021,5173
1,"MY",2021,10.987700139141
2,"MY",2021,319.543208564323
3,"MY",2021,1631.88306937404
4,"MY",2021,6.2540094636
5,"MY",2021,11.7515457402321
6,"MY",2021,29.5700738502689
7,"MY",2021,3.26127160164
8,"MY",2021,220.58986713108
9,"MY",2021,1.5193356324
10,"MY",2021,3.07584676594031
11,"MY",2021,5.1440956469451
12,"MY",2021,0.73493444544
13,"MY",2021,41.35419591072
14,"MY",2021,7.16896542447339
15,"MY",2021,5.82294214464
16,"MY",2021,2.78073754116
17,"MY",2021,9.72374804736
18,"MY",2021,1587.41685027408
19,"MY",2021,23.80056934848
20,"MY",2021,6.28227617304
21,"MY",2021,4.33187322168
22,"MY",2021,0.0150078429575587
23,"MY",2021,1.2421982130342
24,"MY",2021,1.79140271076
25,"MY",2021,4.28593981884
26,"MY",2021,11.15828355144
27,"MY",2021,82.8961018775606
28,"MY",2021,6.43249568195539
29,"MY",2021,5.89700916226804
30,"MY",2021,2.3143368354
31,"MY",2021,148.28715772224
32,"MY",2021,8.94641353776
33,"MY",2021,6.95798617628346
34,"MY",2021,95.68634479308
35,"MY",2021,1.51580229372
36,"MY",2021,264.735400599
